time;model_id;model_name;port_name;data
7.9;5;adder;;{noise: 4.56327, n1: 0, n2: 0, sum: 4.56327, sigma: inf}
8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8;5;adder;;{noise: -6.60895, n1: 0, n2: 0, sum: -6.60895, sigma: 0}
8;6;noise;noise_out;-6.60895
8;6;noise;;{value: 4.43514, sigma: 0.1}
8;1;electrode;;{input: -6.60895, threshold: 25, sigma: inf}
8;5;adder;sum_out;-6.60895
8;5;adder;;{noise: -6.60895, n1: 0, n2: 0, sum: -6.60895, sigma: inf}
8.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
8.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.1;5;adder;;{noise: 4.43514, n1: 0, n2: 0, sum: 4.43514, sigma: 0}
8.1;6;noise;noise_out;4.43514
8.1;6;noise;;{value: 4.06324, sigma: 0.1}
8.1;1;electrode;;{input: 4.43514, threshold: 25, sigma: inf}
8.1;5;adder;sum_out;4.43514
8.1;5;adder;;{noise: 4.43514, n1: 0, n2: 0, sum: 4.43514, sigma: inf}
8.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
8.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.2;5;adder;;{noise: 4.06324, n1: 0, n2: 0, sum: 4.06324, sigma: 0}
8.2;6;noise;noise_out;4.06324
8.2;6;noise;;{value: -3.05122, sigma: 0.1}
8.2;1;electrode;;{input: 4.06324, threshold: 25, sigma: inf}
8.2;5;adder;sum_out;4.06324
8.2;5;adder;;{noise: 4.06324, n1: 0, n2: 0, sum: 4.06324, sigma: inf}
8.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
8.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.3;5;adder;;{noise: -3.05122, n1: 0, n2: 0, sum: -3.05122, sigma: 0}
8.3;6;noise;noise_out;-3.05122
8.3;6;noise;;{value: 4.17561, sigma: 0.1}
8.3;1;electrode;;{input: -3.05122, threshold: 25, sigma: inf}
8.3;5;adder;sum_out;-3.05122
8.3;5;adder;;{noise: -3.05122, n1: 0, n2: 0, sum: -3.05122, sigma: inf}
8.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
8.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.4;5;adder;;{noise: 4.17561, n1: 0, n2: 0, sum: 4.17561, sigma: 0}
8.4;6;noise;noise_out;4.17561
8.4;6;noise;;{value: -13.2227, sigma: 0.1}
8.4;1;electrode;;{input: 4.17561, threshold: 25, sigma: inf}
8.4;5;adder;sum_out;4.17561
8.4;5;adder;;{noise: 4.17561, n1: 0, n2: 0, sum: 4.17561, sigma: inf}
