time;model_id;model_name;port_name;data
1.2;3;adder;sum_out;-6.68858
1.2;3;adder;;{noise: -6.68858, n1: 0, n2: 0, sum: -6.68858, sigma: inf}
1.3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.3;3;adder;;{noise: 9.06781, n1: 0, n2: 0, sum: 9.06781, sigma: 0}
1.3;4;noise;noise_out;9.06781
1.3;4;noise;;{value: 19.6932, sigma: 0.1}
1.3;3;adder;sum_out;9.06781
1.3;3;adder;;{noise: 9.06781, n1: 0, n2: 0, sum: 9.06781, sigma: inf}
1.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.4;3;adder;;{noise: 19.6932, n1: 0, n2: 0, sum: 19.6932, sigma: 0}
1.4;4;noise;noise_out;19.6932
1.4;4;noise;;{value: 2.30467, sigma: 0.1}
1.4;3;adder;sum_out;19.6932
1.4;3;adder;;{noise: 19.6932, n1: 0, n2: 0, sum: 19.6932, sigma: inf}
1.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.5;3;adder;;{noise: 2.30467, n1: 0, n2: 0, sum: 2.30467, sigma: 0}
1.5;4;noise;noise_out;2.30467
1.5;4;noise;;{value: 14.0465, sigma: 0.1}
1.5;3;adder;sum_out;2.30467
1.5;3;adder;;{noise: 2.30467, n1: 0, n2: 0, sum: 2.30467, sigma: inf}
1.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.6;3;adder;;{noise: 14.0465, n1: 0, n2: 0, sum: 14.0465, sigma: 0}
1.6;4;noise;noise_out;14.0465
1.6;4;noise;;{value: 4.67205, sigma: 0.1}
1.6;3;adder;sum_out;14.0465
1.6;3;adder;;{noise: 14.0465, n1: 0, n2: 0, sum: 14.0465, sigma: inf}
1.7;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.7;3;adder;;{noise: 4.67205, n1: 0, n2: 0, sum: 4.67205, sigma: 0}
1.7;4;noise;noise_out;4.67205
1.7;4;noise;;{value: 0.368755, sigma: 0.1}
1.7;3;adder;sum_out;4.67205
1.7;3;adder;;{noise: 4.67205, n1: 0, n2: 0, sum: 4.67205, sigma: inf}
1.8;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.8;3;adder;;{noise: 0.368755, n1: 0, n2: 0, sum: 0.368755, sigma: 0}
1.8;4;noise;noise_out;0.368755
1.8;4;noise;;{value: 4.49306, sigma: 0.1}
1.8;3;adder;sum_out;0.368755
